orden_principal,experimento_principal,nombre_experimento,id_principal,nombre_original,exp_tag_original,rol,estado,usos,carpeta_original,observaciones
1,A,Transferencia del encoder,A01_random_ajustado,A1randEls,A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,control aleatorio,completado,A;C;E;F;G;H;I,A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,
4,E,Frontend de EEG,E01_frontend_lineal,C1linear,C1linear_n45_linear_char_initrandom_sess_ep40_s2024_1feff8,ablación de frontend,interrumpido,E,C1linear_n45_linear_char_initrandom_sess_ep40_s2024_1feff8,
4,E,Frontend de EEG,E02_frontend_conv1d,C2conv1d,C2conv1d_n45_conv1d_char_initrandom_sess_ep40_s2024_b58c5d,ablación de frontend,completado,E,C2conv1d_n45_conv1d_char_initrandom_sess_ep40_s2024_b58c5d,
