orden_principal,experimento_principal,nombre_experimento,id_principal,nombre_original,exp_tag_original,rol,estado,usos,carpeta_original,observaciones
1,A,Transferencia del encoder,A01_random_ajustado,A1randEls,A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,control aleatorio,completado,A;C;E;F;G;H;I,A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,
2,C,Estabilidad del entrenamiento,C02_random_semilla_7,H1semilla,H1semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s7_6b253b,réplica de semilla,completado,C;I,H1semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s7_6b253b,
2,C,Estabilidad del entrenamiento,C03_random_semilla_1234,H2semilla,H2semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s1234_191968,réplica de semilla,completado,C,H2semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s1234_191968,
2,C,Estabilidad del entrenamiento,C04_owsm_ajuste_alternativo,H3owsmEls02,H3owsmEls02_n45_deep_d512b2s2_char_sess_ep40_s2024_f4fa07,equidad de optimización,completado,C,H3owsmEls02_n45_deep_d512b2s2_char_sess_ep40_s2024_f4fa07,
