id_principal,etiqueta,objetivo_ctc,init_encoder,epocas_hechas,cer_ctc_micro,cer_ctc_greedy,wer_ctc_greedy,min_valid_cer_ctc,compute_units
A01_random_ajustado,A01 · semilla 2024 (30 ep.),char,random,30.0,0.2949892183863874,0.2887007052545438,0.5713065403324045,0.324,6.6
C02_random_semilla_7,C02 · semilla 7 (40 ep.),char,random,40.0,0.2727001003437306,0.2672359265942138,0.5354338583022272,0.297,8.82
C03_random_semilla_1234,C03 · semilla 1234 (40 ep.),char,random,40.0,0.2863212280364653,0.2804080582684011,0.5446071865323577,0.314,8.78
