etiqueta,objetivo_ctc,init_encoder,epocas_hechas,cer_ctc_micro,cer_ctc_greedy,wer_ctc_greedy,min_valid_cer_ctc,compute_units
Congelado (70 ep.),char,owsm,70.0,0.36482418497406,0.359271956868695,0.6649838994664092,0.44,14.62
LoRA (30 ep.),char,owsm,30.0,0.357693375178804,0.3519727048644976,0.6442910184536288,0.403,6.82
2 capas (30 ep.),char,owsm,30.0,0.4300689596276607,0.4264295814560151,0.7275947269553408,0.521,6.3
4 capas (30 ep.),char,owsm,30.0,0.439441491065138,0.4347203107142743,0.7392977155259557,0.493,6.39
Ajuste completo (38 ep.),char,owsm,38.0,0.332871012482663,0.324702600768268,0.6315651154401154,0.381,8.86
