exp_tag,gpu,minutos,compute_units,n_train,n_val,cer_beam,wer_beam,error,nombre,n_sessions,max_epoch,warmup,val_igual_train,frontend,unfreeze_encoder,unfreeze_n_layers,usar_lora,batch_type,batch_size,batch_bins,accum_grad,lr,enc_lr_scale,weight_decay,grad_clip,ctc_weight,ctc_weight_decode,seed,num_workers,epocas_hechas,best_valid_loss_ctc,best_valid_cer_ctc,best_valid_loss_att,best_valid_acc,best_valid_cer,best_valid_wer,best_valid_loss,best_valid_gpu_max_cached_mem_GB,best_epoch,n_sesiones,batch_usado,cer_ctc_greedy,wer_ctc_greedy,capa_sesion,norm,cer_ctc_micro,criterio,min_valid_cer_ctc,epoch_min_cer_ctc,pendiente_cer_ctc,objetivo_ctc,deep_dim,deep_bloques,deep_kernel,deep_dropout,subsample,interctc_weight,interctc_layers,best_valid_loss_interctc_layer2,best_valid_cer_interctc_layer2,best_valid_loss_interctc_layer4,best_valid_cer_interctc_layer4,aug,aug_n_tiempo,aug_max_tiempo,aug_n_canales,aug_max_canales,aug_ruido,optim,aug_offset,suavizado,patience,patience_start_epoch,tag_legible,cer_ctc_greedy_se,holdout_sesiones,holdout_capa_sesion,bpe_vocab,unfreeze_ultimas,init_encoder,n_capas_encoder,best_valid_loss_interctc_layer1,best_valid_cer_interctc_layer1,metadatos_inferidos,estado,es_ctc_puro,horas,pareto
D1loraCong_n45_deep_d512b2s2_char_congelado_lora_sess_ep30_s2024_e336f8,NVIDIA L4,239.3,6.82,8072,1426,,,,D1loraCong,45,30,1500,False,deep,False,,True,sorted,16,6000000,2,0.001,0.05,0.01,100.0,1.0,,2024,0,30.0,39.983,0.418,,,,,41.607,21.779,26.0,45.0,16.0,0.3519727048644976,0.6442910184536288,True,ninguna,0.357693375178804,cer_ctc,0.403,29.0,-0.0035090909090909,char,512.0,2.0,5.0,0.1,2.0,0.3,"(2,)",45.395,0.492,,,True,2.0,0.05,2.0,20.0,0.5,adamw,0.2,0.0,,15.0,D1loraCong_n45_deep_d512b2s2_char_congelado_lora_sess_ep30_s2024,0.003413278068549,0.0,identidad,256.0,,owsm,,,,False,completo,True,3.9883333333333337,False
C2conv1d_n45_conv1d_char_initrandom_sess_ep40_s2024_b58c5d,NVIDIA L4,244.0,6.96,8072,1426,,,,C2conv1d,45,40,1500,False,conv1d,True,,False,sorted,16,6000000,2,0.001,0.05,0.01,100.0,1.0,,2024,0,40.0,47.183,0.475,,,,,48.799,21.779,7.0,45.0,16.0,0.3535390012159711,0.6427951246014937,True,ninguna,0.3583338670765815,cer_ctc,0.399,36.0,-0.0005636363636363,char,512.0,2.0,5.0,0.1,2.0,0.3,"(2,)",52.572,0.551,,,True,2.0,0.05,2.0,20.0,0.5,adamw,0.2,0.0,,15.0,C2conv1d_n45_conv1d_char_initrandom_sess_ep40_s2024,0.0035932578682187,0.0,identidad,256.0,,random,,,,False,completo,True,4.066666666666666,False
F2L2_n45_deep_d512b2s2_char_initrandom_L2_sess_ep40_s2024_d6b3e1,NVIDIA L4,259.4,7.39,8072,1426,,,,F2L2,45,40,1500,False,deep,True,,False,sorted,16,6000000,2,0.001,0.05,0.01,100.0,1.0,,2024,0,40.0,39.226,0.412,,,,,40.307,21.779,14.0,45.0,16.0,0.3109592513399279,0.6022413287150107,True,ninguna,0.3161895002028224,cer_ctc,0.353,39.0,-0.000490909090909,char,512.0,2.0,5.0,0.1,2.0,0.3,"(1,)",,,,,True,2.0,0.05,2.0,20.0,0.5,adamw,0.2,0.0,,15.0,F2L2_n45_deep_d512b2s2_char_initrandom_L2_sess_ep40_s2024,0.003572578137421,0.0,identidad,256.0,,random,2.0,42.829,0.442,False,completo,True,4.323333333333333,False
F1L3_n45_deep_d512b2s2_char_initrandom_L3_sess_ep40_s2024_0fbdf3,NVIDIA L4,272.4,7.76,8072,1426,,,,F1L3,45,40,1500,False,deep,True,,False,sorted,16,6000000,2,0.001,0.05,0.01,100.0,1.0,,2024,0,40.0,38.294,0.393,,,,,38.871,21.762,16.0,45.0,16.0,0.2955342075659216,0.5685098214035595,True,ninguna,0.2998569568094963,cer_ctc,0.334,40.0,-0.0012484848484848,char,512.0,2.0,5.0,0.1,2.0,0.3,"(2,)",40.217,0.421,,,True,2.0,0.05,2.0,20.0,0.5,adamw,0.2,0.0,,15.0,F1L3_n45_deep_d512b2s2_char_initrandom_L3_sess_ep40_s2024,0.0036171921979207,0.0,identidad,256.0,,random,3.0,,,False,completo,True,4.54,False
H3owsmEls02_n45_deep_d512b2s2_char_sess_ep40_s2024_f4fa07,NVIDIA L4,304.7,8.68,8072,1426,,,,H3owsmEls02,45,40,1500,False,deep,True,,False,sorted,16,6000000,2,0.001,0.2,0.01,100.0,1.0,,2024,0,40.0,64.657,0.689,,,,,71.541,21.779,39.0,45.0,16.0,0.6111808152733155,0.8875763158959677,True,ninguna,0.6132282926620978,cer_ctc,0.689,39.0,-0.0025393939393939,char,512.0,2.0,5.0,0.1,2.0,0.3,"(2,)",87.603,0.851,,,True,2.0,0.05,2.0,20.0,0.5,adamw,0.2,0.0,,15.0,H3owsmEls02_n45_deep_d512b2s2_char_sess_ep40_s2024,0.0026738349758403,0.0,identidad,256.0,,owsm,,,,False,completo,True,5.078333333333333,False
v2_n45_deepd512b2s2_ic0.3_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep45,NVIDIA L4,306.2,8.73,8072,1426,,,,v2,45,45,1500,False,deep,True,,False,sorted,16,6000000,2,0.001,0.05,0.01,25.0,1.0,,2024,0,45.0,62.379,0.479,,,,,73.709,21.777,27.0,45.0,16.0,0.395745055896523,0.6748198051948051,True,ninguna,0.4016027122823239,cer_ctc,0.455,43.0,-0.0009333333333333,char,512.0,2.0,5.0,0.1,2.0,0.3,"(2,)",100.145,0.862,,,False,2.0,0.05,2.0,40.0,0.0,adamw,,,,,,,,,,,owsm,,,,True,completo,True,5.1033333333333335,False
H2semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s1234_191968,NVIDIA L4,308.1,8.78,8072,1426,,,,H2semilla,45,40,1500,False,deep,True,,False,sorted,16,6000000,2,0.001,0.05,0.01,100.0,1.0,,1234,0,40.0,37.566,0.386,,,,,38.71,21.775,11.0,45.0,16.0,0.2804080582684011,0.5446071865323577,True,ninguna,0.2863212280364653,cer_ctc,0.314,40.0,-0.001230303030303,char,512.0,2.0,5.0,0.1,2.0,0.3,"(2,)",41.378,0.431,,,True,2.0,0.05,2.0,20.0,0.5,adamw,0.2,0.0,,15.0,H2semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s1234,0.0035723938625571,0.0,identidad,256.0,,random,,,,False,completo,True,5.135000000000001,False
A4randCong_n45_deep_d512b2s2_char_initrandom_congelado_sess_ep40_s2024_f7a202,NVIDIA L4,308.5,8.79,8072,1426,,,,A4randCong,45,40,1500,False,deep,False,,False,sorted,16,6000000,2,0.001,0.05,0.01,100.0,1.0,,2024,0,40.0,42.512,0.476,,,,,42.602,21.779,13.0,45.0,16.0,0.3656650255285764,0.6992300933260838,True,ninguna,0.3697773223168727,cer_ctc,0.414,34.0,-0.0004181818181818,char,512.0,2.0,5.0,0.1,2.0,0.3,"(2,)",42.813,0.48,,,True,2.0,0.05,2.0,20.0,0.5,adamw,0.2,0.0,,15.0,A4randCong_n45_deep_d512b2s2_char_initrandom_congelado_sess_ep40_s2024,0.0034453902791135,0.0,identidad,256.0,,random,,,,False,completo,True,5.141666666666667,False
H1semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s7_6b253b,NVIDIA L4,309.5,8.82,8072,1426,,,,H1semilla,45,40,1500,False,deep,True,,False,sorted,16,6000000,2,0.001,0.05,0.01,100.0,1.0,,7,0,40.0,34.827,0.348,,,,,36.436,21.771,16.0,45.0,16.0,0.2672359265942138,0.5354338583022272,True,ninguna,0.2727001003437306,cer_ctc,0.297,40.0,-0.0007575757575757,char,512.0,2.0,5.0,0.1,2.0,0.3,"(2,)",40.19,0.408,,,True,2.0,0.05,2.0,20.0,0.5,adamw,0.2,0.0,,15.0,H1semilla_n45_deep_d512b2s2_char_initrandom_sess_ep40_s7,0.003647741526912,0.0,identidad,256.0,,random,,,,False,completo,True,5.158333333333333,False
v3_n45_deepd512b2s2_ic0.3_augn0.5o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,NVIDIA L4,310.7,8.86,8072,1426,,,,v3,45,60,1500,False,deep,True,,False,sorted,16,6000000,2,0.001,0.05,0.01,100.0,1.0,,2024,0,38.0,43.106,0.434,,,,,43.946,21.777,25.0,45.0,16.0,0.324702600768268,0.6315651154401154,True,ninguna,0.332871012482663,cer_ctc,0.381,37.0,-0.0035272727272727,char,512.0,2.0,5.0,0.1,2.0,0.3,"(2,)",45.907,0.504,,,True,2.0,0.05,2.0,20.0,0.5,adamw,0.2,0.0,12.0,,,,,,,,owsm,,,,True,completo,True,5.178333333333333,False
D2bUlt2Lr1_n45_deep_d512b2s2_char_unf2ult_sess_ep40_s2024_15113f,NVIDIA L4,315.3,8.99,8072,1426,,,,D2bUlt2Lr1,45,40,1500,False,deep,True,,False,sorted,16,6000000,2,0.001,1.0,0.01,100.0,1.0,,2024,0,40.0,82.198,0.889,,,,,85.189,21.779,39.0,45.0,16.0,0.7818731742933717,1.0236312055561705,True,ninguna,0.7785819509383206,cer_ctc,0.848,21.0,0.000460606060606,char,512.0,2.0,5.0,0.1,2.0,0.3,"(2,)",92.169,0.954,,,True,2.0,0.05,2.0,20.0,0.5,adamw,0.2,0.0,,15.0,D2bUlt2Lr1_n45_deep_d512b2s2_char_unf2ult_sess_ep40_s2024,0.0016545854814593,0.0,identidad,256.0,2.0,owsm,,,,False,completo,True,5.255,False
B2bpe256_n45_deep_d512b2s2_bpe256_initrandom_sess_ep40_s2024_26571e,NVIDIA L4,316.1,9.01,8072,1426,,,,B2bpe256,45,40,1500,False,deep,True,,False,sorted,16,6000000,2,0.001,0.05,0.01,100.0,1.0,,2024,0,40.0,28.35,0.29,,,,,29.563,21.779,19.0,45.0,16.0,0.251493024429834,0.4240232805264567,True,ninguna,0.2574136937167744,cer_ctc,0.245,37.0,-0.0012666666666666,bpe256,512.0,2.0,5.0,0.1,2.0,0.3,"(2,)",32.395,0.361,,,True,2.0,0.05,2.0,20.0,0.5,adamw,0.2,0.0,,15.0,B2bpe256_n45_deep_d512b2s2_bpe256_initrandom_sess_ep40_s2024,0.0040625957657228,0.0,identidad,256.0,,random,,,,False,completo,True,5.2683333333333335,False
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep40_s2024_745c76,NVIDIA L4,331.6,9.45,8072,1426,,,,B3word,45,40,1500,False,deep,True,,False,sorted,16,6000000,2,0.001,0.05,0.01,100.0,1.0,,2024,0,40.0,11.363,0.318,,,,,11.405,21.777,33.0,45.0,16.0,0.222002068443951,0.282427561301004,True,ninguna,0.271995454114973,cer_ctc,0.312,37.0,-0.0002666666666666,word,512.0,2.0,5.0,0.1,2.0,0.3,"(2,)",11.503,0.36,,,True,2.0,0.05,2.0,20.0,0.5,adamw,0.2,0.0,,15.0,B3word_n45_deep_d512b2s2_word_initrandom_sess_ep40_s2024,0.0049225070233776,0.0,identidad,256.0,,random,,,,False,completo,True,5.526666666666667,True
D0congExt_n45_deep_d512b2s2_char_congelado_sess_ep70_s2024_f3baaa,NVIDIA L4,512.9,14.62,8072,1426,,,,D0congExt,45,70,1500,False,deep,False,,False,sorted,16,6000000,2,0.001,0.05,0.01,100.0,1.0,,2024,0,70.0,48.097,0.488,,,,,60.679,21.779,33.0,45.0,16.0,0.359271956868695,0.6649838994664092,True,ninguna,0.36482418497406,cer_ctc,0.44,70.0,-0.0011333333333333,char,512.0,2.0,5.0,0.1,2.0,0.3,"(2,)",90.035,0.859,,,True,2.0,0.05,2.0,20.0,0.5,adamw,0.2,0.0,,15.0,D0congExt_n45_deep_d512b2s2_char_congelado_sess_ep70_s2024,0.0035326140672986,0.0,identidad,256.0,,owsm,,,,False,completo,True,8.548333333333334,False
fullCon2_n45_linear_sess_char_unf1_lora1_lr0.001_els1_ctc1_bs32_ep100,NVIDIA L4,521.0,14.85,7051,1390,,,,fullCon2,45,100,2500,False,linear,True,,True,sorted,32,6000000,1,0.001,1.0,1e-06,5.0,1.0,,2024,0,100.0,84.351,0.882,,,,,84.351,21.785,62.0,41.0,32.0,0.8376746168301149,1.0,True,trial,0.8375900458415193,cer_ctc,0.828,10.0,-0.0007151515151514,char,,,,,,,,,,,,,,,,,,,,,,,,,,,,,owsm,,,,True,completo,True,8.683333333333334,False
v5_n45_deepd512b2s2_ic0.3_augn0.5o0.2_sm2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,NVIDIA L4,531.6,15.15,8072,1426,,,,v5,45,60,1500,False,deep,True,,False,sorted,16,6000000,2,0.001,0.05,0.01,100.0,1.0,,2024,0,60.0,38.856,0.367,,,,,52.398,21.777,55.0,45.0,16.0,0.313651896688812,0.584330266955267,True,ninguna,0.3185390661118816,cer_ctc,0.362,60.0,-0.0012121212121212,char,512.0,2.0,5.0,0.1,2.0,0.3,"(2,)",83.996,0.868,,,True,2.0,0.05,2.0,20.0,0.5,adamw,0.2,2.0,12.0,15.0,,,,,,,owsm,,,,True,completo,True,8.860000000000001,False
