nombre,frontend,objetivo_ctc,capa_sesion,norm,subsample,interctc_weight,grad_clip,weight_decay,lr,enc_lr_scale,ctc_weight,n_train,epocas_hechas,min_valid_cer_ctc,epoch_min_cer_ctc,pendiente_cer_ctc,cer_ctc_micro,cer_ctc_greedy,wer_ctc_greedy,cer_beam,wer_beam,minutos,compute_units
E1hoIdent,deep,char,True,ninguna,2.0,0.3,100.0,0.01,0.001,0.05,1.0,7515,40.0,0.747,10.0,-0.0024484848484848,0.6769262128006522,0.6831326431366685,0.9837532467532468,,,262.3,7.47
E2hoMedia,deep,char,True,ninguna,2.0,0.3,100.0,0.01,0.001,0.05,1.0,7515,40.0,0.752,12.0,-0.0014727272727272,0.6628618018752548,0.6641412605000737,0.9697556517556518,,,270.5,7.71
gen1,linear,bpe,False,trial,4.0,0.0,5.0,1e-06,0.001,1.0,1.0,348,200.0,0.753,200.0,-0.0009030303030303,0.7685433422698839,0.7951700773629164,0.9698412698412698,,,51.0,1.45
charGen1,linear,char,False,trial,4.0,0.0,5.0,1e-06,0.001,1.0,1.0,348,150.0,0.784,68.0,-0.0001636363636363,0.7250922509225092,0.7342335711995206,0.9728571428571428,,,34.8,0.99
c1d,conv1d,char,True,trial,4.0,0.0,5.0,1e-06,0.001,0.01,1.0,7051,30.0,0.804,29.0,-0.0039999999999999,0.7137569401603948,0.7141646859980137,1.2048571428571428,,,168.9,4.81
fullCon,linear,char,True,trial,4.0,0.0,5.0,1e-06,0.001,1.0,1.0,7051,25.0,0.817,12.0,0.0006424242424242,0.7205428747686613,0.7213105282318497,1.1938961038961038,,,133.1,3.79
fullCon2,linear,char,True,trial,4.0,0.0,5.0,1e-06,0.001,1.0,1.0,7051,100.0,0.828,10.0,-0.0007151515151514,0.8375900458415193,0.8376746168301149,1.0,,,521.0,14.85
D2bUlt2Lr1,deep,char,True,ninguna,2.0,0.3,100.0,0.01,0.001,1.0,1.0,8072,40.0,0.848,21.0,0.000460606060606,0.7785819509383206,0.7818731742933717,1.0236312055561705,,,315.3,8.99
A1randLr1,deep,char,True,ninguna,2.0,0.3,100.0,0.01,0.001,1.0,1.0,8072,30.0,0.854,15.0,0.0018121212121212,0.8355003309208139,0.8254614276695466,0.9803360644205048,,,226.5,6.45
lrdif,linear,char,True,trial,4.0,0.0,5.0,1e-06,0.001,0.01,1.0,7051,30.0,0.856,16.0,-0.0013939393939394,0.7476866132017274,0.7457971462215502,1.108095238095238,,,163.8,4.67
D3bUlt4Lr1,deep,char,True,ninguna,2.0,0.3,100.0,0.01,0.001,1.0,1.0,8072,37.0,0.859,33.0,-4.84848484848749e-05,0.7758278357778774,0.7768854840580178,1.03326011295857,,,301.8,8.6
sanity,linear,bpe,False,trial,4.0,0.0,5.0,1e-06,0.001,1.0,0.3,545,15.0,0.838,11,-0.01099393939393946,,,,0.7492659960010281,1.0566810966810969,17.3,0.34
base,conv2d,bpe,False,trial,4.0,0.0,5.0,1e-06,0.001,1.0,0.3,2296,,,,,,,,,,0.1,0.0
lrdif,conv2d,bpe,False,trial,4.0,0.0,5.0,1e-06,0.001,0.01,0.3,2296,,,,,,,,,,0.1,0.0
linear,linear,bpe,False,trial,4.0,0.0,5.0,1e-06,0.001,1.0,0.3,2296,30.0,0.846,25,-0.002927272727273235,,,,0.7954148024919354,1.069531746031746,101.7,2.02
conv1d,conv1d,bpe,False,trial,4.0,0.0,5.0,1e-06,0.001,1.0,0.3,2296,30.0,0.853,30,-0.005151515151515152,,,,0.842684851237487,1.2351666666666667,104.0,2.06
frozen,conv2d,bpe,False,trial,4.0,0.0,5.0,1e-06,0.001,1.0,0.3,2296,,,,,,,,,,0.1,0.0
ctc00,conv2d,bpe,False,trial,4.0,0.0,5.0,1e-06,0.001,1.0,0.0,2296,,,,,,,,,,0.0,0.0
ctc05,conv2d,bpe,False,trial,4.0,0.0,5.0,1e-06,0.001,1.0,0.5,2296,,,,,,,,,,0.1,0.0
overfit,linear,bpe,False,trial,4.0,0.0,5.0,1e-06,0.001,1.0,1.0,348,200.0,0.117,199,0.0004969696969700718,,0.5812247733405507,0.6847720057720058,,,82.5,2.35
sinSesion,linear,bpe,False,trial,4.0,0.0,5.0,1e-06,0.001,0.01,0.3,2296,30.0,0.903,29,-0.0003575757575758458,,0.9868135110626022,0.9877777777777778,0.8629355183827688,1.3979365079365078,59.2,1.69
conSesion,linear,bpe,True,trial,4.0,0.0,5.0,1e-06,0.001,0.01,0.3,2296,30.0,0.926,29,-0.0005696969696967272,,0.9958623082783156,0.9977777777777778,0.7961205145683775,1.1289444444444443,59.4,1.69
charGen1,linear,char,False,trial,4.0,0.0,5.0,1e-06,0.001,1.0,1.0,348,,,,,,,,,,0.1,0.0
