exp_tag,gpu,minutos,compute_units,n_train,n_val,cer_beam,wer_beam,error,nombre,n_sessions,max_epoch,warmup,val_igual_train,frontend,unfreeze_encoder,unfreeze_n_layers,usar_lora,batch_type,batch_size,batch_bins,accum_grad,lr,enc_lr_scale,weight_decay,grad_clip,ctc_weight,ctc_weight_decode,seed,num_workers,epocas_hechas,best_valid_loss_ctc,best_valid_cer_ctc,best_valid_loss_att,best_valid_acc,best_valid_cer,best_valid_wer,best_valid_loss,best_valid_gpu_max_cached_mem_GB,best_epoch,n_sesiones,batch_usado,cer_ctc_greedy,wer_ctc_greedy,capa_sesion,norm,cer_ctc_micro,criterio,min_valid_cer_ctc,epoch_min_cer_ctc,pendiente_cer_ctc,objetivo_ctc,deep_dim,deep_bloques,deep_kernel,deep_dropout,subsample,interctc_weight,interctc_layers,best_valid_loss_interctc_layer2,best_valid_cer_interctc_layer2,best_valid_loss_interctc_layer4,best_valid_cer_interctc_layer4,aug,aug_n_tiempo,aug_max_tiempo,aug_n_canales,aug_max_canales,aug_ruido,optim,aug_offset,suavizado,patience,patience_start_epoch,tag_legible,cer_ctc_greedy_se,holdout_sesiones,holdout_capa_sesion,bpe_vocab,unfreeze_ultimas,init_encoder,n_capas_encoder,best_valid_loss_interctc_layer1,best_valid_cer_interctc_layer1
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep20_s2024_63ef6e,NVIDIA L4,166.8,4.75,8072,1426,,,,B3word,45,20,1500,False,deep,True,,False,sorted,16,6000000,2,0.001,0.05,0.01,100.0,1.0,,2024,0,20.0,11.886,0.341,,,,,11.899,21.779,16.0,45.0,16.0,0.240426101402724,0.3085488123789419,True,ninguna,0.2877166398333175,cer_ctc,0.327,19.0,-0.0075151515151515,word,512.0,2.0,5.0,0.1,2.0,0.3,"(2,)",11.931,0.382,,,True,2.0,0.05,2.0,20.0,0.5,adamw,0.2,0.0,,15.0,B3word_n45_deep_d512b2s2_word_initrandom_sess_ep20_s2024,0.005065849484324,0.0,identidad,256.0,,random,,,
B4bpe50k_n45_deep_d512b2s2_bpe_initrandom_sess_ep20_s2024_4bb4bf,NVIDIA L4,226.7,6.46,8072,1426,,,,B4bpe50k,45,20,1500,False,deep,True,,False,sorted,16,6000000,2,0.001,0.05,0.01,100.0,1.0,,2024,0,20.0,16.589,0.243,,,,,17.219,21.779,19.0,45.0,8.0,0.2469523213547507,0.3234389497878484,True,ninguna,0.2538909882789982,cer_ctc,0.243,19.0,-0.0065939393939393,bpe,512.0,2.0,5.0,0.1,2.0,0.3,"(2,)",18.688,0.29,,,True,2.0,0.05,2.0,20.0,0.5,adamw,0.2,0.0,,15.0,B4bpe50k_n45_deep_d512b2s2_bpe_initrandom_sess_ep20_s2024,0.0050977560199975,0.0,identidad,256.0,,random,,,
E1hoIdent_n45_ho5_deep_d512b2s2_char_initrandom_sess_ep40_s2024_74cb6c,NVIDIA L4,262.3,7.47,7515,150,,,,E1hoIdent,45,40,1500,False,deep,True,,False,sorted,16,6000000,2,0.001,0.05,0.01,100.0,1.0,,2024,0,40.0,85.816,0.768,,,,,86.183,21.775,7.0,45.0,16.0,0.6831326431366685,0.9837532467532468,True,ninguna,0.6769262128006522,cer_ctc,0.747,10.0,-0.0024484848484848,char,512.0,2.0,5.0,0.1,2.0,0.3,"(2,)",87.04,0.787,,,True,2.0,0.05,2.0,20.0,0.5,adamw,0.2,0.0,,15.0,E1hoIdent_n45_ho5_deep_d512b2s2_char_initrandom_sess_ep40_s2024,0.0076629507867513,5.0,identidad,256.0,,random,,,
E2hoMedia_n45_ho5_deep_d512b2s2_char_initrandom_sess_ep40_s2024_8d2988,NVIDIA L4,270.5,7.71,7515,150,,,,E2hoMedia,45,40,1500,False,deep,True,,False,sorted,16,6000000,2,0.001,0.05,0.01,100.0,1.0,,2024,0,40.0,85.039,0.943,,,,,85.539,21.771,3.0,45.0,16.0,0.6641412605000737,0.9697556517556518,True,ninguna,0.6628618018752548,cer_ctc,0.752,12.0,-0.0014727272727272,char,512.0,2.0,5.0,0.1,2.0,0.3,"(2,)",86.704,0.955,,,True,2.0,0.05,2.0,20.0,0.5,adamw,0.2,0.0,,15.0,E2hoMedia_n45_ho5_deep_d512b2s2_char_initrandom_sess_ep40_s2024,0.0081882294534952,5.0,media,256.0,,random,,,
E3hoSinSes_n45_ho5_deep_d512b2s2_char_initrandom_ep40_s2024_32095d,NVIDIA L4,260.6,7.43,7515,150,,,,E3hoSinSes,45,40,1500,False,deep,True,,False,sorted,16,6000000,2,0.001,0.05,0.01,100.0,1.0,,2024,0,40.0,61.985,0.639,,,,,64.235,21.773,18.0,45.0,16.0,0.5267673971294725,0.8475276575276575,False,ninguna,0.5287403179779862,cer_ctc,0.593,33.0,0.0001515151515151,char,512.0,2.0,5.0,0.1,2.0,0.3,"(2,)",69.487,0.673,,,True,2.0,0.05,2.0,20.0,0.5,adamw,0.2,0.0,,15.0,E3hoSinSes_n45_ho5_deep_d512b2s2_char_initrandom_ep40_s2024,0.0098051019102362,5.0,identidad,256.0,,random,,,
A4randCong_n45_deep_d512b2s2_char_initrandom_congelado_sess_ep40_s2024_f7a202,NVIDIA L4,308.5,8.79,8072,1426,,,,A4randCong,45,40,1500,False,deep,False,,False,sorted,16,6000000,2,0.001,0.05,0.01,100.0,1.0,,2024,0,40.0,42.512,0.476,,,,,42.602,21.779,13.0,45.0,16.0,0.3656650255285764,0.6992300933260838,True,ninguna,0.3697773223168727,cer_ctc,0.414,34.0,-0.0004181818181818,char,512.0,2.0,5.0,0.1,2.0,0.3,"(2,)",42.813,0.48,,,True,2.0,0.05,2.0,20.0,0.5,adamw,0.2,0.0,,15.0,A4randCong_n45_deep_d512b2s2_char_initrandom_congelado_sess_ep40_s2024,0.0034453902791135,0.0,identidad,256.0,,random,,,
C1linear_n45_linear_char_initrandom_sess_ep40_s2024_1feff8,NVIDIA L4,184.7,5.26,8072,1426,,,interrumpido,C1linear,45,40,1500,False,linear,True,,False,sorted,16,6000000,2,0.001,0.05,0.01,100.0,1.0,,2024,0,30.0,52.616,0.545,,,,,56.409,21.779,8.0,45.0,16.0,0.4201137315333493,0.710378378279129,True,ninguna,0.4260552104015884,cer_ctc,0.475,25.0,-0.0007272727272727,char,512.0,2.0,5.0,0.1,2.0,0.3,"(2,)",65.257,0.713,,,True,2.0,0.05,2.0,20.0,0.5,adamw,0.2,0.0,,15.0,C1linear_n45_linear_char_initrandom_sess_ep40_s2024,0.0035503413049711,0.0,identidad,256.0,,random,,,
C2conv1d_n45_conv1d_char_initrandom_sess_ep40_s2024_b58c5d,NVIDIA L4,244.0,6.96,8072,1426,,,,C2conv1d,45,40,1500,False,conv1d,True,,False,sorted,16,6000000,2,0.001,0.05,0.01,100.0,1.0,,2024,0,40.0,47.183,0.475,,,,,48.799,21.779,7.0,45.0,16.0,0.3535390012159711,0.6427951246014937,True,ninguna,0.3583338670765815,cer_ctc,0.399,36.0,-0.0005636363636363,char,512.0,2.0,5.0,0.1,2.0,0.3,"(2,)",52.572,0.551,,,True,2.0,0.05,2.0,20.0,0.5,adamw,0.2,0.0,,15.0,C2conv1d_n45_conv1d_char_initrandom_sess_ep40_s2024,0.0035932578682187,0.0,identidad,256.0,,random,,,
B3word_n45_deep_d512b2s2_word_initrandom_sess_ep40_s2024_745c76,NVIDIA L4,331.6,9.45,8072,1426,,,,B3word,45,40,1500,False,deep,True,,False,sorted,16,6000000,2,0.001,0.05,0.01,100.0,1.0,,2024,0,40.0,11.363,0.318,,,,,11.405,21.777,33.0,45.0,16.0,0.222002068443951,0.282427561301004,True,ninguna,0.271995454114973,cer_ctc,0.312,37.0,-0.0002666666666666,word,512.0,2.0,5.0,0.1,2.0,0.3,"(2,)",11.503,0.36,,,True,2.0,0.05,2.0,20.0,0.5,adamw,0.2,0.0,,15.0,B3word_n45_deep_d512b2s2_word_initrandom_sess_ep40_s2024,0.0049225070233776,0.0,identidad,256.0,,random,,,
B4bpe50k_n45_deep_d512b2s2_bpe_initrandom_sess_ep40_s2024_5a0268,NVIDIA L4,143.2,4.08,8072,1426,,,interrumpido,B4bpe50k,45,40,1500,False,deep,True,,False,sorted,16,6000000,2,0.001,0.05,0.01,100.0,1.0,,2024,0,11.0,18.591,0.302,,,,,19.379,21.777,11.0,45.0,8.0,0.3122415920662447,0.3997591777911058,True,ninguna,0.3186233694143769,cer_ctc,0.302,11.0,-0.0993030303030301,bpe,512.0,2.0,5.0,0.1,2.0,0.3,"(2,)",21.217,0.353,,,True,2.0,0.05,2.0,20.0,0.5,adamw,0.2,0.0,,15.0,B4bpe50k_n45_deep_d512b2s2_bpe_initrandom_sess_ep40_s2024,0.0052899772635924,0.0,identidad,256.0,,random,,,
F1L3_n45_deep_d512b2s2_char_initrandom_L3_sess_ep40_s2024_0fbdf3,NVIDIA L4,272.4,7.76,8072,1426,,,,F1L3,45,40,1500,False,deep,True,,False,sorted,16,6000000,2,0.001,0.05,0.01,100.0,1.0,,2024,0,40.0,38.294,0.393,,,,,38.871,21.762,16.0,45.0,16.0,0.2955342075659216,0.5685098214035595,True,ninguna,0.2998569568094963,cer_ctc,0.334,40.0,-0.0012484848484848,char,512.0,2.0,5.0,0.1,2.0,0.3,"(2,)",40.217,0.421,,,True,2.0,0.05,2.0,20.0,0.5,adamw,0.2,0.0,,15.0,F1L3_n45_deep_d512b2s2_char_initrandom_L3_sess_ep40_s2024,0.0036171921979207,0.0,identidad,256.0,,random,3.0,,
F2L2_n45_deep_d512b2s2_char_initrandom_L2_sess_ep40_s2024_d6b3e1,NVIDIA L4,259.4,7.39,8072,1426,,,,F2L2,45,40,1500,False,deep,True,,False,sorted,16,6000000,2,0.001,0.05,0.01,100.0,1.0,,2024,0,40.0,39.226,0.412,,,,,40.307,21.779,14.0,45.0,16.0,0.3109592513399279,0.6022413287150107,True,ninguna,0.3161895002028224,cer_ctc,0.353,39.0,-0.000490909090909,char,512.0,2.0,5.0,0.1,2.0,0.3,"(1,)",,,,,True,2.0,0.05,2.0,20.0,0.5,adamw,0.2,0.0,,15.0,F2L2_n45_deep_d512b2s2_char_initrandom_L2_sess_ep40_s2024,0.003572578137421,0.0,identidad,256.0,,random,2.0,42.829,0.442
D2bUlt2Lr1_n45_deep_d512b2s2_char_unf2ult_sess_ep40_s2024_15113f,NVIDIA L4,315.3,8.99,8072,1426,,,,D2bUlt2Lr1,45,40,1500,False,deep,True,,False,sorted,16,6000000,2,0.001,1.0,0.01,100.0,1.0,,2024,0,40.0,82.198,0.889,,,,,85.189,21.779,39.0,45.0,16.0,0.7818731742933717,1.0236312055561705,True,ninguna,0.7785819509383206,cer_ctc,0.848,21.0,0.000460606060606,char,512.0,2.0,5.0,0.1,2.0,0.3,"(2,)",92.169,0.954,,,True,2.0,0.05,2.0,20.0,0.5,adamw,0.2,0.0,,15.0,D2bUlt2Lr1_n45_deep_d512b2s2_char_unf2ult_sess_ep40_s2024,0.0016545854814593,0.0,identidad,256.0,2.0,owsm,,,
D3bUlt4Lr1_n45_deep_d512b2s2_char_unf4ult_sess_ep40_s2024_40ae97,NVIDIA L4,301.8,8.6,8072,1426,,,interrumpido,D3bUlt4Lr1,45,40,1500,False,deep,True,,False,sorted,16,6000000,2,0.001,1.0,0.01,100.0,1.0,,2024,0,37.0,83.532,0.885,,,,,85.56,21.779,35.0,45.0,16.0,0.7768854840580178,1.0332601129585701,True,ninguna,0.7758278357778774,cer_ctc,0.859,33.0,-4.84848484848749e-05,char,512.0,2.0,5.0,0.1,2.0,0.3,"(2,)",90.293,0.951,,,True,2.0,0.05,2.0,20.0,0.5,adamw,0.2,0.0,,15.0,D3bUlt4Lr1_n45_deep_d512b2s2_char_unf4ult_sess_ep40_s2024,0.0015986391262916364,0.0,identidad,256.0,4.0,owsm,,,
