orden_principal,experimento_principal,nombre_experimento,id_principal,nombre_original,exp_tag_original,rol,estado,usos,carpeta_original,observaciones
1,A,Transferencia del encoder,A02_owsm_ajustado,v3,v3_n45_deepd512b2s2_ic0.3_augn0.5o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,control OWSM emparejado,completado,A;D,v3_n45_deepd512b2s2_ic0.3_augn0.5o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,
3,D,Estrategia de adaptación,D01_owsm_congelado_extendido,D0congExt,D0congExt_n45_deep_d512b2s2_char_congelado_sess_ep70_s2024_f3baaa,adaptación congelada,completado,D;I,D0congExt_n45_deep_d512b2s2_char_congelado_sess_ep70_s2024_f3baaa,
3,D,Estrategia de adaptación,D03_owsm_ultimas_2_capas,D2ult2,D2ult2_n45_deep_d512b2s2_char_unf2ult_sess_ep30_s2024_467cbe,adaptación parcial,completado,D,D2ult2_n45_deep_d512b2s2_char_unf2ult_sess_ep30_s2024_467cbe,
3,D,Estrategia de adaptación,D04_owsm_ultimas_4_capas,D3ult4,D3ult4_n45_deep_d512b2s2_char_unf4ult_sess_ep30_s2024_4ae4f5,adaptación parcial,completado,D,D3ult4_n45_deep_d512b2s2_char_unf4ult_sess_ep30_s2024_4ae4f5,
3,D,Estrategia de adaptación,D02_owsm_lora,D1loraCong,D1loraCong_n45_deep_d512b2s2_char_congelado_lora_sess_ep30_s2024_e336f8,adaptación LoRA,completado,D,D1loraCong_n45_deep_d512b2s2_char_congelado_lora_sess_ep30_s2024_e336f8,
3,D,Estrategia de adaptación,D05_owsm_ultimas_2_capas_lr_alta,D2bUlt2Lr1,D2bUlt2Lr1_n45_deep_d512b2s2_char_unf2ult_sess_ep40_s2024_15113f,"adaptación parcial, tasa alta",completado,D,D2bUlt2Lr1_n45_deep_d512b2s2_char_unf2ult_sess_ep40_s2024_15113f,
3,D,Estrategia de adaptación,D06_owsm_ultimas_4_capas_lr_alta,D3bUlt4Lr1,D3bUlt4Lr1_n45_deep_d512b2s2_char_unf4ult_sess_ep40_s2024_40ae97,"adaptación parcial, tasa alta",interrumpido,D,D3bUlt4Lr1_n45_deep_d512b2s2_char_unf4ult_sess_ep40_s2024_40ae97,
