orden_principal,experimento_principal,nombre_experimento,id_principal,nombre_original,exp_tag_original,rol,estado,usos,carpeta_original,observaciones
1,A,Transferencia del encoder,A01_random_ajustado,A1randEls,A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,control aleatorio,completado,A;C;E;F;G;H;I,A1randEls_n45_deep_d512b2s2_char_initrandom_sess_ep30_s2024_032591,
6,G,Unidad de salida CTC,G02_fonema,B1fon,B1fon_n45_deep_d512b2s2_fon_initrandom_sess_ep40_s2024_1f9774,objetivo CTC,completado,G,B1fon_n45_deep_d512b2s2_fon_initrandom_sess_ep40_s2024_1f9774,
6,G,Unidad de salida CTC,G03_bpe_256,B2bpe256,B2bpe256_n45_deep_d512b2s2_bpe256_initrandom_sess_ep40_s2024_26571e,objetivo CTC,completado,G,B2bpe256_n45_deep_d512b2s2_bpe256_initrandom_sess_ep40_s2024_26571e,
6,G,Unidad de salida CTC,G04_palabra_ep20,B3word,B3word_n45_deep_d512b2s2_word_initrandom_sess_ep20_s2024_63ef6e,objetivo CTC; candidato al sistema final,completado,G;B,B3word_n45_deep_d512b2s2_word_initrandom_sess_ep20_s2024_63ef6e,
6,G,Unidad de salida CTC,G05_bpe_owsm_50k_ep20,B4bpe50k,B4bpe50k_n45_deep_d512b2s2_bpe_initrandom_sess_ep20_s2024_4bb4bf,objetivo CTC,completado,G,B4bpe50k_n45_deep_d512b2s2_bpe_initrandom_sess_ep20_s2024_4bb4bf,
6,G,Unidad de salida CTC,G04_palabra_ep40,B3word,B3word_n45_deep_d512b2s2_word_initrandom_sess_ep40_s2024_745c76,objetivo CTC; candidato al sistema final,completado,G;B,B3word_n45_deep_d512b2s2_word_initrandom_sess_ep40_s2024_745c76,
6,G,Unidad de salida CTC,G05_bpe_owsm_50k_ep40,B4bpe50k,B4bpe50k_n45_deep_d512b2s2_bpe_initrandom_sess_ep40_s2024_5a0268,objetivo CTC,interrumpido,G,B4bpe50k_n45_deep_d512b2s2_bpe_initrandom_sess_ep40_s2024_5a0268,
