exp_tag,epoch,train_iter_time,train_forward_time,train_loss_ctc,train_loss,train_backward_time,train_grad_norm,train_clip,train_loss_scale,train_optim_step_time,train_optim0_lr0,train_train_time,train_gpu_max_cached_mem_GB,valid_loss_ctc,valid_cer_ctc,valid_loss,valid_gpu_max_cached_mem_GB
charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep50,27,0.335,0.039,59.735,59.735,0.05,197.133,100.0,65540.0,0.007,0.0002994,0.446,4.291,53.005,0.769,53.005,4.291
charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep50,28,0.333,0.039,58.023,58.023,0.052,228.608,100.0,65540.0,0.007,0.0002939,0.446,4.291,51.007,0.772,51.007,4.291
charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep50,29,0.337,0.039,56.728,56.728,0.051,201.622,100.0,65540.0,0.007,0.0002887,0.45,4.291,49.075,0.727,49.075,4.291
charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep50,30,0.338,0.039,54.911,54.911,0.051,230.004,100.0,65540.0,0.007,0.0002838,0.45,4.291,48.039,0.688,48.039,4.291
charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep50,31,0.338,0.039,54.321,54.321,0.051,215.15,100.0,65540.0,0.007,0.0002791,0.45,4.291,46.419,0.727,46.419,4.291
charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep50,32,0.336,0.039,51.792,51.792,0.05,224.668,100.0,65540.0,0.007,0.0002746,0.447,4.291,43.164,0.644,43.164,4.291
charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep50,33,0.334,0.039,49.742,49.742,0.053,213.59,100.0,65540.0,0.007,0.0002704,0.447,4.291,41.01,0.652,41.01,4.291
charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep50,34,0.335,0.038,48.822,48.822,0.052,216.878,100.0,65540.0,0.007,0.0002663,0.447,4.291,39.271,0.603,39.271,4.291
charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep50,35,0.335,0.039,48.073,48.073,0.052,248.731,100.0,65540.0,0.007,0.0002624,0.448,4.291,37.422,0.597,37.422,4.291
charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep50,36,0.334,0.038,45.935,45.935,0.051,231.973,100.0,65540.0,0.007,0.0002587,0.445,4.291,35.775,0.533,35.775,4.291
charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep50,37,0.339,0.038,44.072,44.072,0.051,255.217,100.0,65540.0,0.007,0.0002552,0.45,4.291,32.064,0.499,32.064,4.291
charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep50,38,0.338,0.039,42.128,42.128,0.051,222.605,100.0,65540.0,0.007,0.0002517,0.45,4.291,29.486,0.453,29.486,4.291
charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep50,39,0.335,0.038,40.233,40.233,0.05,243.128,100.0,65540.0,0.007,0.0002485,0.446,4.291,28.822,0.46,28.822,4.291
charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep50,40,0.335,0.038,38.669,38.669,0.053,214.623,100.0,65540.0,0.007,0.0002453,0.449,4.291,26.849,0.428,26.849,4.291
charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep50,41,0.335,0.038,37.436,37.436,0.052,248.44,100.0,65540.0,0.007,0.0002423,0.447,4.291,25.565,0.396,25.565,4.291
charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep50,42,0.335,0.039,35.873,35.873,0.052,226.06,100.0,65540.0,0.007,0.0002393,0.448,4.291,25.091,0.38,25.091,4.291
charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep50,43,0.334,0.038,35.137,35.137,0.05,248.149,100.0,65540.0,0.007,0.0002365,0.444,4.291,21.668,0.368,21.668,4.291
charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep50,44,0.336,0.038,33.432,33.432,0.052,246.384,100.0,65540.0,0.007,0.0002338,0.448,4.291,20.912,0.349,20.912,4.291
charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep50,45,0.339,0.038,31.475,31.475,0.05,235.923,100.0,65540.0,0.007,0.0002311,0.45,4.291,20.051,0.324,20.051,4.291
charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep50,46,0.336,0.039,30.643,30.643,0.053,229.212,100.0,65540.0,0.007,0.0002286,0.448,4.291,18.531,0.291,18.531,4.291
charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep50,47,0.334,0.039,29.542,29.542,0.051,226.164,100.0,65540.0,0.007,0.0002261,0.445,4.291,16.86,0.275,16.86,4.291
charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep50,48,0.336,0.04,27.534,27.534,0.052,229.104,100.0,65540.0,0.008,0.0002237,0.45,4.291,16.287,0.286,16.287,4.291
charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep50,49,0.335,0.038,27.461,27.461,0.051,235.423,100.0,65540.0,0.007,0.0002214,0.446,4.291,15.423,0.25,15.423,4.291
charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep50,50,0.336,0.039,26.522,26.522,0.05,221.593,100.0,65540.0,0.008,0.0002192,0.447,4.291,13.976,0.231,13.976,4.291
